algo,qubits,seeds,cpp_own,gcflobdd_cppconv,cpp_rustconv,gcflobdd_own
GHZ,2048,1,634,586,356,332
GHZ,65536,1,914,846,516,482
BV,2048,3,3329,3270,1895,1863
BV,16384,3,16510,16432,9427,9385
DJ,2048,3,241,279,137,155
DJ,16384,3,298,351,170,197
QFT,8,3,644,336,46,29
QFT,16,3,132238,131917,308,287
Grover,32,3,161,140,89,78
Grover,512,3,1028,998,585,570
