impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,conv_total,correct,verified,status
cpp,ghz,8,256,na,0.19,695840,8,,67,399,466,,1,na,ok
cpp,ghz,9,512,na,0.19,696528,13,,75,447,522,,1,na,ok
cpp,ghz,10,1024,na,0.20,697840,24,,83,495,578,,1,na,ok
cpp,ghz,11,2048,na,0.23,700224,47,,91,543,634,,1,na,ok
cpp,ghz,12,4096,na,0.28,705120,94,,99,591,690,,1,na,ok
cpp,ghz,13,8192,na,0.39,714048,197,,107,639,746,,1,na,ok
cpp,ghz,14,16384,na,0.61,732720,408,,115,687,802,,1,na,ok
cpp,ghz,15,32768,na,1.09,768752,851,,123,735,858,,1,na,ok
cpp,ghz,16,65536,na,2.05,839664,1737,,131,783,914,,1,na,ok
cpp,bv,1,2,1,0.21,695152,4,,11,63,74,,1,na,ok
cpp,bv,2,4,1,0.17,695120,1,,15,85,100,,1,na,ok
cpp,bv,3,8,1,0.17,695184,1,,21,125,146,,1,na,ok
cpp,bv,4,16,1,0.20,695216,1,,30,179,209,,1,na,ok
cpp,bv,5,32,1,0.17,695312,1,,39,233,272,,1,na,ok
cpp,bv,6,64,1,0.18,695488,2,,53,317,370,,1,na,ok
cpp,bv,7,128,1,0.18,695632,3,,75,449,524,,1,na,ok
cpp,bv,8,256,1,0.18,696048,4,,111,665,776,,1,na,ok
cpp,bv,9,512,1,0.20,696848,7,,176,1055,1231,,1,na,ok
cpp,bv,10,1024,1,0.21,698448,11,,286,1715,2001,,1,na,ok
cpp,bv,11,2048,1,0.25,701632,19,,486,2915,3401,,1,na,ok
cpp,bv,12,4096,1,0.33,708736,35,,804,4823,5627,,1,na,ok
cpp,bv,13,8192,1,0.47,722960,61,,1340,8039,9379,,1,na,ok
cpp,bv,14,16384,1,0.82,752288,115,,2363,14177,16540,,1,na,ok
cpp,bv,15,32768,1,1.53,813984,224,,4388,26327,30715,,1,na,ok
cpp,bv,16,65536,1,3.34,938784,459,,8400,50399,58799,,1,na,ok
cpp,dj,1,2,1,0.18,695088,1,,9,44,53,,1,na,ok
cpp,dj,2,4,1,0.17,695136,1,,12,60,72,,1,na,ok
cpp,dj,3,8,1,0.18,695136,1,,15,76,91,,1,na,ok
cpp,dj,4,16,1,0.18,695264,1,,18,92,110,,1,na,ok
cpp,dj,5,32,1,0.17,695296,1,,21,108,129,,1,na,ok
cpp,dj,6,64,1,0.17,695392,1,,24,124,148,,1,na,ok
cpp,dj,7,128,1,0.17,695616,1,,27,140,167,,1,na,ok
cpp,dj,8,256,1,0.18,695984,2,,30,156,186,,1,na,ok
cpp,dj,9,512,1,0.18,696608,2,,33,172,205,,1,na,ok
cpp,dj,10,1024,1,0.20,698064,3,,36,188,224,,1,na,ok
cpp,dj,11,2048,1,0.22,700816,4,,39,204,243,,1,na,ok
cpp,dj,12,4096,1,0.28,706240,8,,42,220,262,,1,na,ok
cpp,dj,13,8192,1,0.37,716096,14,,45,236,281,,1,na,ok
cpp,dj,14,16384,1,0.61,736272,28,,48,252,300,,1,na,ok
cpp,dj,15,32768,1,1.13,774416,58,,51,268,319,,1,na,ok
cpp,dj,16,65536,1,2.23,849536,120,,54,284,338,,1,na,ok
cpp-fixed,ghz,1,2,na,0.18,695056,1,,12,69,81,,1,na,ok
cpp-fixed,ghz,2,4,na,0.17,695040,1,,19,111,130,,1,na,ok
cpp-fixed,ghz,3,8,na,0.17,695136,1,,27,159,186,,1,na,ok
cpp-fixed,ghz,4,16,na,0.17,695216,1,,35,207,242,,1,na,ok
cpp-fixed,ghz,5,32,na,0.17,695168,2,,43,255,298,,1,na,ok
cpp-fixed,ghz,6,64,na,0.17,695264,3,,51,303,354,,1,na,ok
cpp-fixed,ghz,7,128,na,0.17,695440,4,,59,351,410,,1,na,ok
cpp-fixed,ghz,8,256,na,0.18,695936,6,,67,399,466,,1,na,ok
cpp-fixed,ghz,9,512,na,0.19,696688,12,,75,447,522,,1,na,ok
cpp-fixed,ghz,10,1024,na,0.20,697872,22,,83,495,578,,1,na,ok
cpp-fixed,ghz,11,2048,na,0.22,700400,45,,91,543,634,,1,na,ok
cpp-fixed,ghz,12,4096,na,0.27,705136,92,,99,591,690,,1,na,ok
cpp-fixed,ghz,13,8192,na,0.38,714304,192,,107,639,746,,1,na,ok
cpp-fixed,ghz,14,16384,na,0.56,732688,364,,115,687,802,,1,na,ok
cpp-fixed,ghz,15,32768,na,1.00,768912,777,,123,735,858,,1,na,ok
cpp-fixed,ghz,16,65536,na,2.00,839168,1681,,131,783,914,,1,na,ok
cpp-fixed,bv,1,2,1,0.18,695136,2,,11,63,74,,1,na,ok
cpp-fixed,bv,2,4,1,0.17,695136,1,,15,85,100,,1,na,ok
cpp-fixed,bv,3,8,1,0.17,695232,1,,21,125,146,,1,na,ok
cpp-fixed,bv,4,16,1,0.17,695232,1,,30,179,209,,1,na,ok
cpp-fixed,bv,5,32,1,0.17,695296,1,,39,233,272,,1,na,ok
cpp-fixed,bv,6,64,1,0.17,695456,2,,53,317,370,,1,na,ok
cpp-fixed,bv,7,128,1,0.17,695568,3,,75,449,524,,1,na,ok
cpp-fixed,bv,8,256,1,0.18,696032,4,,111,665,776,,1,na,ok
cpp-fixed,bv,9,512,1,0.19,696784,7,,176,1055,1231,,1,na,ok
cpp-fixed,bv,10,1024,1,0.21,698400,11,,286,1715,2001,,1,na,ok
cpp-fixed,bv,11,2048,1,0.24,703040,20,,486,2915,3401,,1,na,ok
cpp-fixed,bv,12,4096,1,0.31,708736,33,,804,4823,5627,,1,na,ok
cpp-fixed,bv,13,8192,1,0.48,722720,63,,1340,8039,9379,,1,na,ok
cpp-fixed,bv,14,16384,1,0.81,752496,117,,2363,14177,16540,,1,na,ok
cpp-fixed,bv,15,32768,1,1.58,814416,241,,4388,26327,30715,,1,na,ok
cpp-fixed,bv,16,65536,1,3.33,937584,451,,8400,50399,58799,,1,na,ok
cpp-fixed,dj,1,2,1,0.17,695088,1,,9,44,53,,1,na,ok
cpp-fixed,dj,2,4,1,0.17,695168,1,,12,60,72,,1,na,ok
cpp-fixed,dj,3,8,1,0.18,695216,1,,15,76,91,,1,na,ok
cpp-fixed,dj,4,16,1,0.18,695232,1,,18,92,110,,1,na,ok
cpp-fixed,dj,5,32,1,0.18,695360,1,,21,108,129,,1,na,ok
cpp-fixed,dj,6,64,1,0.18,695424,1,,24,124,148,,1,na,ok
cpp-fixed,dj,7,128,1,0.18,695600,1,,27,140,167,,1,na,ok
cpp-fixed,dj,8,256,1,0.18,696016,2,,30,156,186,,1,na,ok
cpp-fixed,dj,9,512,1,0.18,696640,2,,33,172,205,,1,na,ok
cpp-fixed,dj,10,1024,1,0.19,698112,3,,36,188,224,,1,na,ok
cpp-fixed,dj,11,2048,1,0.22,701008,4,,39,204,243,,1,na,ok
cpp-fixed,dj,12,4096,1,0.28,706352,9,,42,220,262,,1,na,ok
cpp-fixed,dj,13,8192,1,0.38,716336,14,,45,236,281,,1,na,ok
cpp-fixed,dj,14,16384,1,0.63,736368,28,,48,252,300,,1,na,ok
cpp-fixed,dj,15,32768,1,1.13,775536,58,,51,268,319,,1,na,ok
cpp-fixed,dj,16,65536,1,2.17,849504,119,,54,284,338,,1,na,ok
